yyyymm,period_type,imex,dimension,name,value_usd_k,retrieved_at
2026-08,D10,I,item,석유제품,447360,2026-09-01
2026-08,D20,I,item,석유제품,832526,2026-09-01
2026-08,FULL,I,item,석유제품,1370211,2026-09-01
2026-08,D10,I,item,석탄,375011,2026-09-01
2026-08,D20,I,item,석탄,1162414,2026-09-01
2026-08,FULL,I,item,석탄,1616769,2026-09-01
2026-08,D10,I,item,승용차,337790,2026-09-01
2026-08,D20,I,item,승용차,744138,2026-09-01
2026-08,FULL,I,item,승용차,1262517,2026-09-01
2026-08,D10,I,item,무선통신기기,309312,2026-09-01
2026-08,D20,I,item,무선통신기기,692465,2026-09-01
2026-08,FULL,I,item,무선통신기기,1083731,2026-09-01
2026-08,D10,E,country,중국,6745686,2026-09-01
2026-08,D20,E,country,중국,15260087,2026-09-01
2026-08,FULL,E,country,중국,24098821,2026-09-01
2026-08,D10,E,country,베트남,2389548,2026-09-01
2026-08,D20,E,country,베트남,5825691,2026-09-01
2026-08,FULL,E,country,베트남,8817795,2026-09-01
2026-08,D10,E,country,미국,2044888,2026-09-01
2026-08,D20,E,country,미국,7974925,2026-09-01
2026-08,FULL,E,country,미국,16502448,2026-09-01
2026-08,D10,E,country,홍콩,1578064,2026-09-01
2026-08,D20,E,country,홍콩,3626026,2026-09-01
2026-08,FULL,E,country,홍콩,8902410,2026-09-01
2026-08,D10,E,country,유럽연합,1500568,2026-09-01
2026-08,D20,E,country,유럽연합,3553030,2026-09-01
2026-08,FULL,E,country,유럽연합,6623780,2026-09-01
2026-08,D10,E,country,대만,1101444,2026-09-01
2026-08,D20,E,country,대만,3296225,2026-09-01
2026-08,FULL,E,country,대만,6471060,2026-09-01
2026-08,D10,E,country,일본,649040,2026-09-01
2026-08,D20,E,country,일본,1691206,2026-09-01
2026-08,FULL,E,country,일본,2682518,2026-09-01
2026-08,D10,E,country,말레이시아,601816,2026-09-01
2026-08,D20,E,country,말레이시아,1984120,2026-09-01
2026-08,FULL,E,country,말레이시아,3363379,2026-09-01
2026-08,D10,E,country,인도,469340,2026-09-01
2026-08,D20,E,country,인도,1372346,2026-09-01
2026-08,FULL,E,country,인도,2344204,2026-09-01
2026-08,D10,E,country,싱가포르,272181,2026-09-01
2026-08,D20,E,country,싱가포르,1116323,2026-09-01
2026-08,FULL,E,country,싱가포르,2374060,2026-09-01
2026-08,D10,I,country,중국,4790789,2026-09-01
2026-08,D20,I,country,중국,9825075,2026-09-01
2026-08,FULL,I,country,중국,15325220,2026-09-01
2026-08,D10,I,country,미국,2342312,2026-09-01
2026-08,D20,I,country,미국,4816803,2026-09-01
2026-08,FULL,I,country,미국,7605579,2026-09-01
2026-08,D10,I,country,일본,1832165,2026-09-01
2026-08,D20,I,country,일본,3162283,2026-09-01
2026-08,FULL,I,country,일본,4757672,2026-09-01
2026-08,D10,I,country,유럽연합,1682665,2026-09-01
2026-08,D20,I,country,유럽연합,3848497,2026-09-01
2026-08,FULL,I,country,유럽연합,5963461,2026-09-01
2026-08,D10,I,country,대만,1456638,2026-09-01
2026-08,D20,I,country,대만,3045413,2026-09-01
2026-08,FULL,I,country,대만,4719181,2026-09-01
2026-08,D10,I,country,베트남,1152985,2026-09-01
2026-08,D20,I,country,베트남,2328397,2026-09-01
2026-08,FULL,I,country,베트남,3687492,2026-09-01
2026-08,D10,I,country,사우디아라비아,685160,2026-09-01
2026-08,D20,I,country,사우디아라비아,1376238,2026-09-01
2026-08,FULL,I,country,사우디아라비아,1965505,2026-09-01
2026-08,D10,I,country,호주,671587,2026-09-01
2026-08,D20,I,country,호주,1778079,2026-09-01
2026-08,FULL,I,country,호주,2930015,2026-09-01
2026-08,D10,I,country,말레이시아,459788,2026-09-01
2026-08,D20,I,country,말레이시아,896096,2026-09-01
2026-08,FULL,I,country,말레이시아,1480404,2026-09-01
2026-08,D10,I,country,러시아 연방,198518,2026-09-01
2026-08,D20,I,country,러시아 연방,587410,2026-09-01
2026-08,FULL,I,country,러시아 연방,840432,2026-09-01
2025-09,D10,E,total,TOTAL,19154390,2026-09-01
2025-09,D20,E,total,TOTAL,40050000,2026-09-01
2025-09,FULL,E,total,TOTAL,65904118,2026-09-01
2025-10,D10,E,total,TOTAL,12925797,2026-09-01
2025-10,D20,E,total,TOTAL,30003320,2026-09-01
2025-10,FULL,E,total,TOTAL,59511578,2026-09-01
2025-11,D10,E,total,TOTAL,15794269,2026-09-01
2025-11,D20,E,total,TOTAL,38419340,2026-09-01
2025-11,FULL,E,total,TOTAL,60752618,2026-09-01
2025-12,D10,E,total,TOTAL,20539795,2026-09-01
2025-12,D20,E,total,TOTAL,42971602,2026-09-01
2025-12,FULL,E,total,TOTAL,69513624,2026-09-01
2026-01,D10,E,total,TOTAL,15573137,2026-09-01
2026-01,D20,E,total,TOTAL,36347003,2026-09-01
2026-01,FULL,E,total,TOTAL,65843937,2026-09-01
2026-02,D10,E,total,TOTAL,21406388,2026-09-01
2026-02,D20,E,total,TOTAL,43692168,2026-09-01
2026-02,FULL,E,total,TOTAL,67642547,2026-09-01
2026-03,D10,E,total,TOTAL,22019739,2026-09-01
2026-03,D20,E,total,TOTAL,54274847,2026-09-01
2026-03,FULL,E,total,TOTAL,87333128,2026-09-01
2026-04,D10,E,total,TOTAL,25127271,2026-09-01
2026-04,D20,E,total,TOTAL,50269021,2026-09-01
2026-04,FULL,E,total,TOTAL,85751883,2026-09-01
2026-05,D10,E,total,TOTAL,17941707,2026-09-01
2026-05,D20,E,total,TOTAL,52502449,2026-09-01
2026-05,FULL,E,total,TOTAL,87576083,2026-09-01
2026-06,D10,E,total,TOTAL,28496961,2026-09-01
2026-06,D20,E,total,TOTAL,61749369,2026-09-01
2026-06,FULL,E,total,TOTAL,101956159,2026-09-01
2026-07,D10,E,total,TOTAL,29827757,2026-09-01
2026-07,D20,E,total,TOTAL,54957390,2026-09-01
2026-07,FULL,E,total,TOTAL,98959099,2026-09-01
2025-09,D10,E,item,반도체,4453532,2026-09-01
2025-09,D20,E,item,반도체,9495449,2026-09-01
2025-09,FULL,E,item,반도체,16793796,2026-09-01
2025-09,D10,E,item,승용차,1552382,2026-09-01
2025-09,D20,E,item,승용차,3418359,2026-09-01
2025-09,FULL,E,item,승용차,6042273,2026-09-01
2025-09,D10,E,item,철강제품,1235279,2026-09-01
2025-09,D20,E,item,철강제품,2511412,2026-09-01
2025-09,FULL,E,item,철강제품,4010790,2026-09-01
2025-09,D10,E,item,석유제품,1191055,2026-09-01
2025-09,D20,E,item,석유제품,2714051,2026-09-01
2025-09,FULL,E,item,석유제품,4241471,2026-09-01
2025-09,D10,E,item,선박,896530,2026-09-01
2025-09,D20,E,item,선박,1501289,2026-09-01
2025-09,FULL,E,item,선박,2770339,2026-09-01
2025-09,D10,E,item,자동차부품,655774,2026-09-01
2025-09,D20,E,item,자동차부품,1209270,2026-09-01
2025-09,FULL,E,item,자동차부품,1826428,2026-09-01
2025-09,D10,E,item,무선통신기기,597549,2026-09-01
2025-09,D20,E,item,무선통신기기,1250165,2026-09-01
2025-09,FULL,E,item,무선통신기기,1843236,2026-09-01
2025-09,D10,E,item,정밀기기,358328,2026-09-01
2025-09,D20,E,item,정밀기기,683501,2026-09-01
2025-09,FULL,E,item,정밀기기,1070757,2026-09-01
2025-09,D10,E,item,컴퓨터주변기기,328598,2026-09-01
2025-09,D20,E,item,컴퓨터주변기기,810182,2026-09-01
2025-09,FULL,E,item,컴퓨터주변기기,1451348,2026-09-01
2025-09,D10,E,item,가전제품,198831,2026-09-01
2025-09,D20,E,item,가전제품,405054,2026-09-01
2025-09,FULL,E,item,가전제품,628772,2026-09-01
2025-10,D10,E,item,반도체,4502158,2026-09-01
2025-10,D20,E,item,반도체,8532873,2026-09-01
2025-10,FULL,E,item,반도체,15861970,2026-09-01
2025-10,D10,E,item,석유제품,1207142,2026-09-01
2025-10,D20,E,item,석유제품,2346221,2026-09-01
2025-10,FULL,E,item,석유제품,3871514,2026-09-01
2025-10,D10,E,item,선박,787768,2026-09-01
2025-10,D20,E,item,선박,1516205,2026-09-01
2025-10,FULL,E,item,선박,4621065,2026-09-01
2025-10,D10,E,item,철강제품,726572,2026-09-01
2025-10,D20,E,item,철강제품,1814795,2026-09-01
2025-10,FULL,E,item,철강제품,3497302,2026-09-01
2025-10,D10,E,item,승용차,664405,2026-09-01
2025-10,D20,E,item,승용차,2383057,2026-09-01
2025-10,FULL,E,item,승용차,5246367,2026-09-01
2025-10,D10,E,item,무선통신기기,366146,2026-09-01
2025-10,D20,E,item,무선통신기기,880195,2026-09-01
2025-10,FULL,E,item,무선통신기기,1544872,2026-09-01
2025-10,D10,E,item,자동차부품,260805,2026-09-01
2025-10,D20,E,item,자동차부품,701779,2026-09-01
2025-10,FULL,E,item,자동차부품,1432872,2026-09-01
2025-10,D10,E,item,컴퓨터주변기기,163100,2026-09-01
2025-10,D20,E,item,컴퓨터주변기기,464097,2026-09-01
2025-10,FULL,E,item,컴퓨터주변기기,1133567,2026-09-01
2025-10,D10,E,item,정밀기기,152855,2026-09-01
2025-10,D20,E,item,정밀기기,416475,2026-09-01
2025-10,FULL,E,item,정밀기기,845434,2026-09-01
2025-10,D10,E,item,가전제품,89146,2026-09-01
2025-10,D20,E,item,가전제품,267555,2026-09-01
2025-10,FULL,E,item,가전제품,511663,2026-09-01
2025-11,D10,E,item,반도체,3857254,2026-09-01
2025-11,D20,E,item,반도체,9752081,2026-09-01
2025-11,FULL,E,item,반도체,17442597,2026-09-01
2025-11,D10,E,item,승용차,1541069,2026-09-01
2025-11,D20,E,item,승용차,3803397,2026-09-01
2025-11,FULL,E,item,승용차,6043663,2026-09-01
2025-11,D10,E,item,석유제품,1002173,2026-09-01
2025-11,D20,E,item,석유제품,2150055,2026-09-01
2025-11,FULL,E,item,석유제품,3313953,2026-09-01
2025-11,D10,E,item,철강제품,863811,2026-09-01
2025-11,D20,E,item,철강제품,2249573,2026-09-01
2025-11,FULL,E,item,철강제품,3480452,2026-09-01
2025-11,D10,E,item,선박,655543,2026-09-01
2025-11,D20,E,item,선박,1158010,2026-09-01
2025-11,FULL,E,item,선박,1726991,2026-09-01
2025-11,D10,E,item,무선통신기기,465312,2026-09-01
2025-11,D20,E,item,무선통신기기,1022831,2026-09-01
2025-11,FULL,E,item,무선통신기기,1538658,2026-09-01
2025-11,D10,E,item,자동차부품,421667,2026-09-01
2025-11,D20,E,item,자동차부품,1043984,2026-09-01
2025-11,FULL,E,item,자동차부품,1477229,2026-09-01
2025-11,D10,E,item,컴퓨터주변기기,309735,2026-09-01
2025-11,D20,E,item,컴퓨터주변기기,851386,2026-09-01
2025-11,FULL,E,item,컴퓨터주변기기,1530127,2026-09-01
2025-11,D10,E,item,정밀기기,245204,2026-09-01
2025-11,D20,E,item,정밀기기,614705,2026-09-01
2025-11,FULL,E,item,정밀기기,925587,2026-09-01
2025-11,D10,E,item,가전제품,147176,2026-09-01
2025-11,D20,E,item,가전제품,338673,2026-09-01
2025-11,FULL,E,item,가전제품,495173,2026-09-01
2025-12,D10,E,item,반도체,5271795,2026-09-01
2025-12,D20,E,item,반도체,11645487,2026-09-01
2025-12,FULL,E,item,반도체,20917832,2026-09-01
2025-12,D10,E,item,석유제품,1489405,2026-09-01
2025-12,D20,E,item,석유제품,2593436,2026-09-01
2025-12,FULL,E,item,석유제품,4216318,2026-09-01
2025-12,D10,E,item,승용차,1358660,2026-09-01
2025-12,D20,E,item,승용차,3250935,2026-09-01
2025-12,FULL,E,item,승용차,5587815,2026-09-01
2025-12,D10,E,item,철강제품,1198581,2026-09-01
2025-12,D20,E,item,철강제품,2572088,2026-09-01
2025-12,FULL,E,item,철강제품,4021349,2026-09-01
2025-12,D10,E,item,무선통신기기,632941,2026-09-01
2025-12,D20,E,item,무선통신기기,1211443,2026-09-01
2025-12,FULL,E,item,무선통신기기,1636225,2026-09-01
2025-12,D10,E,item,자동차부품,575305,2026-09-01
2025-12,D20,E,item,자동차부품,1176743,2026-09-01
2025-12,FULL,E,item,자동차부품,1730319,2026-09-01
2025-12,D10,E,item,선박,562190,2026-09-01
2025-12,D20,E,item,선박,1460197,2026-09-01
2025-12,FULL,E,item,선박,2890840,2026-09-01
2025-12,D10,E,item,컴퓨터주변기기,481667,2026-09-01
2025-12,D20,E,item,컴퓨터주변기기,1203954,2026-09-01
2025-12,FULL,E,item,컴퓨터주변기기,2179775,2026-09-01
2025-12,D10,E,item,정밀기기,361743,2026-09-01
2025-12,D20,E,item,정밀기기,756296,2026-09-01
2025-12,FULL,E,item,정밀기기,1079049,2026-09-01
2025-12,D10,E,item,가전제품,184333,2026-09-01
2025-12,D20,E,item,가전제품,399382,2026-09-01
2025-12,FULL,E,item,가전제품,557783,2026-09-01
2026-01,D10,E,item,반도체,4636494,2026-09-01
2026-01,D20,E,item,반도체,10731563,2026-09-01
2026-01,FULL,E,item,반도체,20687770,2026-09-01
2026-01,D10,E,item,석유제품,1020393,2026-09-01
2026-01,D20,E,item,석유제품,2486005,2026-09-01
2026-01,FULL,E,item,석유제품,3796655,2026-09-01
2026-01,D10,E,item,승용차,1017252,2026-09-01
2026-01,D20,E,item,승용차,2862929,2026-09-01
2026-01,FULL,E,item,승용차,5743691,2026-09-01
2026-01,D10,E,item,철강제품,977309,2026-09-01
2026-01,D20,E,item,철강제품,2416433,2026-09-01
2026-01,FULL,E,item,철강제품,4072186,2026-09-01
2026-01,D10,E,item,선박,918516,2026-09-01
2026-01,D20,E,item,선박,1324470,2026-09-01
2026-01,FULL,E,item,선박,2360600,2026-09-01
2026-01,D10,E,item,무선통신기기,450083,2026-09-01
2026-01,D20,E,item,무선통신기기,1044513,2026-09-01
2026-01,FULL,E,item,무선통신기기,1913420,2026-09-01
2026-01,D10,E,item,자동차부품,381922,2026-09-01
2026-01,D20,E,item,자동차부품,869115,2026-09-01
2026-01,FULL,E,item,자동차부품,1541605,2026-09-01
2026-01,D10,E,item,컴퓨터주변기기,256207,2026-09-01
2026-01,D20,E,item,컴퓨터주변기기,640814,2026-09-01
2026-01,FULL,E,item,컴퓨터주변기기,1696075,2026-09-01
2026-01,D10,E,item,정밀기기,239477,2026-09-01
2026-01,D20,E,item,정밀기기,524092,2026-09-01
2026-01,FULL,E,item,정밀기기,884596,2026-09-01
2026-01,D10,E,item,가전제품,99953,2026-09-01
2026-01,D20,E,item,가전제품,277167,2026-09-01
2026-01,FULL,E,item,가전제품,560989,2026-09-01
2026-02,D10,E,item,반도체,6728639,2026-09-01
2026-02,D20,E,item,반도체,15110747,2026-09-01
2026-02,FULL,E,item,반도체,25254092,2026-09-01
2026-02,D10,E,item,석유제품,1562550,2026-09-01
2026-02,D20,E,item,석유제품,3124380,2026-09-01
2026-02,FULL,E,item,석유제품,4134731,2026-09-01
2026-02,D10,E,item,승용차,1347332,2026-09-01
2026-02,D20,E,item,승용차,2643458,2026-09-01
2026-02,FULL,E,item,승용차,4503114,2026-09-01
2026-02,D10,E,item,철강제품,1226066,2026-09-01
2026-02,D20,E,item,철강제품,2532091,2026-09-01
2026-02,FULL,E,item,철강제품,3678524,2026-09-01
2026-02,D10,E,item,선박,665638,2026-09-01
2026-02,D20,E,item,선박,1301485,2026-09-01
2026-02,FULL,E,item,선박,2145152,2026-09-01
2026-02,D10,E,item,무선통신기기,570604,2026-09-01
2026-02,D20,E,item,무선통신기기,1030904,2026-09-01
2026-02,FULL,E,item,무선통신기기,1403770,2026-09-01
2026-02,D10,E,item,자동차부품,519799,2026-09-01
2026-02,D20,E,item,자동차부품,971235,2026-09-01
2026-02,FULL,E,item,자동차부품,1368206,2026-09-01
2026-02,D10,E,item,컴퓨터주변기기,462055,2026-09-01
2026-02,D20,E,item,컴퓨터주변기기,1345285,2026-09-01
2026-02,FULL,E,item,컴퓨터주변기기,2734224,2026-09-01
2026-02,D10,E,item,정밀기기,293560,2026-09-01
2026-02,D20,E,item,정밀기기,525702,2026-09-01
2026-02,FULL,E,item,정밀기기,774382,2026-09-01
2026-02,D10,E,item,가전제품,202602,2026-09-01
2026-02,D20,E,item,가전제품,372661,2026-09-01
2026-02,FULL,E,item,가전제품,526311,2026-09-01
2026-03,D10,E,item,반도체,7588184,2026-09-01
2026-03,D20,E,item,반도체,18657336,2026-09-01
2026-03,FULL,E,item,반도체,32972552,2026-09-01
2026-03,D10,E,item,석유제품,1951340,2026-09-01
2026-03,D20,E,item,석유제품,4120688,2026-09-01
2026-03,FULL,E,item,석유제품,6288766,2026-09-01
2026-03,D10,E,item,승용차,1371442,2026-09-01
2026-03,D20,E,item,승용차,3658778,2026-09-01
2026-03,FULL,E,item,승용차,6077605,2026-09-01
2026-03,D10,E,item,철강제품,1088771,2026-09-01
2026-03,D20,E,item,철강제품,2765811,2026-09-01
2026-03,FULL,E,item,철강제품,4107993,2026-09-01
2026-03,D10,E,item,컴퓨터주변기기,815068,2026-09-01
2026-03,D20,E,item,컴퓨터주변기기,2226086,2026-09-01
2026-03,FULL,E,item,컴퓨터주변기기,3602148,2026-09-01
2026-03,D10,E,item,자동차부품,489319,2026-09-01
2026-03,D20,E,item,자동차부품,1182974,2026-09-01
2026-03,FULL,E,item,자동차부품,1695105,2026-09-01
2026-03,D10,E,item,선박,465459,2026-09-01
2026-03,D20,E,item,선박,2143259,2026-09-01
2026-03,FULL,E,item,선박,3413486,2026-09-01
2026-03,D10,E,item,무선통신기기,454119,2026-09-01
2026-03,D20,E,item,무선통신기기,1068235,2026-09-01
2026-03,FULL,E,item,무선통신기기,1573396,2026-09-01
2026-03,D10,E,item,정밀기기,267062,2026-09-01
2026-03,D20,E,item,정밀기기,613252,2026-09-01
2026-03,FULL,E,item,정밀기기,941980,2026-09-01
2026-03,D10,E,item,가전제품,167437,2026-09-01
2026-03,D20,E,item,가전제품,397359,2026-09-01
2026-03,FULL,E,item,가전제품,620067,2026-09-01
2026-04,D10,E,item,반도체,8572668,2026-09-01
2026-04,D20,E,item,반도체,18285216,2026-09-01
2026-04,FULL,E,item,반도체,32037722,2026-09-01
2026-04,D10,E,item,승용차,1706639,2026-09-01
2026-04,D20,E,item,승용차,3142580,2026-09-01
2026-04,FULL,E,item,승용차,5841732,2026-09-01
2026-04,D10,E,item,석유제품,1705644,2026-09-01
2026-04,D20,E,item,석유제품,3121570,2026-09-01
2026-04,FULL,E,item,석유제품,5054233,2026-09-01
2026-04,D10,E,item,철강제품,1423646,2026-09-01
2026-04,D20,E,item,철강제품,2586912,2026-09-01
2026-04,FULL,E,item,철강제품,4322292,2026-09-01
2026-04,D10,E,item,선박,815043,2026-09-01
2026-04,D20,E,item,선박,1773569,2026-09-01
2026-04,FULL,E,item,선박,2772718,2026-09-01
2026-04,D10,E,item,자동차부품,651736,2026-09-01
2026-04,D20,E,item,자동차부품,1094787,2026-09-01
2026-04,FULL,E,item,자동차부품,1793010,2026-09-01
2026-04,D10,E,item,무선통신기기,568788,2026-09-01
2026-04,D20,E,item,무선통신기기,1024629,2026-09-01
2026-04,FULL,E,item,무선통신기기,1479347,2026-09-01
2026-04,D10,E,item,컴퓨터주변기기,522973,2026-09-01
2026-04,D20,E,item,컴퓨터주변기기,2197612,2026-09-01
2026-04,FULL,E,item,컴퓨터주변기기,4238499,2026-09-01
2026-04,D10,E,item,정밀기기,317628,2026-09-01
2026-04,D20,E,item,정밀기기,544884,2026-09-01
2026-04,FULL,E,item,정밀기기,921004,2026-09-01
2026-04,D10,E,item,가전제품,160339,2026-09-01
2026-04,D20,E,item,가전제품,313221,2026-09-01
2026-04,FULL,E,item,가전제품,539173,2026-09-01
2026-05,D10,E,item,반도체,8538613,2026-09-01
2026-05,D20,E,item,반도체,21950844,2026-09-01
2026-05,FULL,E,item,반도체,37286222,2026-09-01
2026-05,D10,E,item,석유제품,1042114,2026-09-01
2026-05,D20,E,item,석유제품,3259792,2026-09-01
2026-05,FULL,E,item,석유제품,5237054,2026-09-01
2026-05,D10,E,item,승용차,828420,2026-09-01
2026-05,D20,E,item,승용차,2762851,2026-09-01
2026-05,FULL,E,item,승용차,5480813,2026-09-01
2026-05,D10,E,item,철강제품,744904,2026-09-01
2026-05,D20,E,item,철강제품,2417797,2026-09-01
2026-05,FULL,E,item,철강제품,4041314,2026-09-01
2026-05,D10,E,item,컴퓨터주변기기,627104,2026-09-01
2026-05,D20,E,item,컴퓨터주변기기,2449292,2026-09-01
2026-05,FULL,E,item,컴퓨터주변기기,4337680,2026-09-01
2026-05,D10,E,item,무선통신기기,421847,2026-09-01
2026-05,D20,E,item,무선통신기기,982513,2026-09-01
2026-05,FULL,E,item,무선통신기기,1502302,2026-09-01
2026-05,D10,E,item,자동차부품,291603,2026-09-01
2026-05,D20,E,item,자동차부품,950878,2026-09-01
2026-05,FULL,E,item,자동차부품,1477059,2026-09-01
2026-05,D10,E,item,선박,261824,2026-09-01
2026-05,D20,E,item,선박,1414852,2026-09-01
2026-05,FULL,E,item,선박,2503537,2026-09-01
2026-05,D10,E,item,정밀기기,170386,2026-09-01
2026-05,D20,E,item,정밀기기,532338,2026-09-01
2026-05,FULL,E,item,정밀기기,838090,2026-09-01
2026-05,D10,E,item,가전제품,107909,2026-09-01
2026-05,D20,E,item,가전제품,331809,2026-09-01
2026-05,FULL,E,item,가전제품,580195,2026-09-01
2026-06,D10,E,item,반도체,11066421,2026-09-01
2026-06,D20,E,item,반도체,25503660,2026-09-01
2026-06,FULL,E,item,반도체,44942588,2026-09-01
2026-06,D10,E,item,석유제품,1856813,2026-09-01
2026-06,D20,E,item,석유제품,3521851,2026-09-01
2026-06,FULL,E,item,석유제품,5423284,2026-09-01
2026-06,D10,E,item,승용차,1620396,2026-09-01
2026-06,D20,E,item,승용차,3732680,2026-09-01
2026-06,FULL,E,item,승용차,6360318,2026-09-01
2026-06,D10,E,item,선박,1353827,2026-09-01
2026-06,D20,E,item,선박,2211475,2026-09-01
2026-06,FULL,E,item,선박,2714944,2026-09-01
2026-06,D10,E,item,철강제품,1309119,2026-09-01
2026-06,D20,E,item,철강제품,2800145,2026-09-01
2026-06,FULL,E,item,철강제품,4351286,2026-09-01
2026-06,D10,E,item,컴퓨터주변기기,928331,2026-09-01
2026-06,D20,E,item,컴퓨터주변기기,3065605,2026-09-01
2026-06,FULL,E,item,컴퓨터주변기기,5584367,2026-09-01
2026-06,D10,E,item,자동차부품,566293,2026-09-01
2026-06,D20,E,item,자동차부품,1102788,2026-09-01
2026-06,FULL,E,item,자동차부품,1653202,2026-09-01
2026-06,D10,E,item,무선통신기기,448340,2026-09-01
2026-06,D20,E,item,무선통신기기,1049249,2026-09-01
2026-06,FULL,E,item,무선통신기기,1576270,2026-09-01
2026-06,D10,E,item,정밀기기,312283,2026-09-01
2026-06,D20,E,item,정밀기기,622361,2026-09-01
2026-06,FULL,E,item,정밀기기,982246,2026-09-01
2026-06,D10,E,item,가전제품,187697,2026-09-01
2026-06,D20,E,item,가전제품,411322,2026-09-01
2026-06,FULL,E,item,가전제품,660484,2026-09-01
2026-07,D10,E,item,반도체,11210176,2026-09-01
2026-07,D20,E,item,반도체,22120033,2026-09-01
2026-07,FULL,E,item,반도체,41171912,2026-09-01
2026-07,D10,E,item,승용차,1895531,2026-09-01
2026-07,D20,E,item,승용차,3236492,2026-09-01
2026-07,FULL,E,item,승용차,5954827,2026-09-01
2026-07,D10,E,item,석유제품,1765464,2026-09-01
2026-07,D20,E,item,석유제품,3458124,2026-09-01
2026-07,FULL,E,item,석유제품,5796702,2026-09-01
2026-07,D10,E,item,선박,1545876,2026-09-01
2026-07,D20,E,item,선박,2450078,2026-09-01
2026-07,FULL,E,item,선박,3113726,2026-09-01
2026-07,D10,E,item,철강제품,1463443,2026-09-01
2026-07,D20,E,item,철강제품,2647486,2026-09-01
2026-07,FULL,E,item,철강제품,4661963,2026-09-01
2026-07,D10,E,item,컴퓨터주변기기,874143,2026-09-01
2026-07,D20,E,item,컴퓨터주변기기,2039186,2026-09-01
2026-07,FULL,E,item,컴퓨터주변기기,4946933,2026-09-01
2026-07,D10,E,item,무선통신기기,784320,2026-09-01
2026-07,D20,E,item,무선통신기기,1336880,2026-09-01
2026-07,FULL,E,item,무선통신기기,2051205,2026-09-01
2026-07,D10,E,item,자동차부품,616364,2026-09-01
2026-07,D20,E,item,자동차부품,1050704,2026-09-01
2026-07,FULL,E,item,자동차부품,1859385,2026-09-01
2026-07,D10,E,item,정밀기기,333309,2026-09-01
2026-07,D20,E,item,정밀기기,556773,2026-09-01
2026-07,FULL,E,item,정밀기기,1002036,2026-09-01
2026-07,D10,E,item,가전제품,229862,2026-09-01
2026-07,D20,E,item,가전제품,423999,2026-09-01
2026-07,FULL,E,item,가전제품,697482,2026-09-01
